Nombre,Participación previa en certamenes,Experiencia previa modelaje,"Experiencia previa tv, actuación, etc.",Presencia previa en prensa/medios,"Vínculos con agencias, academias o pasarelas"
Anahí Hormazábal,No,Sí (Modelo de pasarelas locales y catálogos),No,No disponible,No
Bernardita Zúñiga,Sí (Miss Global Beauty 2005),Sí (Modelo profesional de agencias),No,No disponible,Sí (Agencia Pasarela Latam)
Camila Andrade,No,Sí (Modelo juvenil de agencias),"Sí (Participante en ""Yingo"" y ""Calle 7"")",Sí (Rostro juvenil de programas juveniles),Sí (Productoras de TVN y CHV)
Camila Recabarren,No,Sí (Modelaje en desfiles regionales),"Sí (Concursante en ""Elígeme"")",No disponible,Sí (Casting de TV)
Carla Jara,Sí (Miss Chile Universo),Sí (Integrante del Team Mekano),"Sí (Rostro de ""Mekano"" y actriz de miniseries)",Sí (Consagrada en TV juvenil antes del Miss),Sí (Mega / Team Mekano)
Cecilia Amenábar,No,Sí (Modelo de Revista Paula desde los 15 años),Sí (Protagonista de comerciales de TV como Pisco Capel),Sí (Vínculos familiares en medios de comunicación),Sí (Elite cultural / Radio)
Cecilia Bolocco,No,No,No,No disponible,Sí (Elite social)
Celeste Viel,No,Sí (Modelo profesional en Miami desde la infancia),No,Sí (Hija de figuras públicas de la TV y el modelaje),Sí (Entorno familiar mediático)
Constanza S. María,No,No,No,No disponible,No
Daniella Campos,Sí (Miss Hawaiian Tropic),Sí (Modelo de desfiles y catálogos),No,Sí (Exposición masiva en prensa de espectáculos),Sí (Agencias de concursos)
Emilia Dides,No,No,"Sí (Ganadora del programa de talentos ""Rojo"")",Sí (Reconocimiento como cantante profesional),Sí (Canal TVN)
Gabriela Pulgar,No,Sí (Modelo universitaria),"Sí (Ganadora de ""Talento Chileno"")",Sí (Visibilidad previa por su carrera musical),Sí (Chilevisión)
Inna Moll,No,Sí (Modelo publicitaria internacional),si (conocida en redes sociales),Sí (Influencer con alto alcance en redes sociales),Sí (Agencias digitales)
Isabel Bawlitza,No,Sí (Modelo de alta costura exclusiva para revistas),No,Sí (Rostro frecuente en Revista Paula),Sí (Revista Paula)
Kenita Larraín,si (Miss hawaiian tropic 1995),Sí (Modelo de publicidad masiva y comerciales),Sí (Apariciones en publicidad de TV),Sí (Rostro conocido en el ámbito comercial),Sí (Agencias de publicidad)
Marcela Vacarezza,No,No,No,Sí (Vínculo familiar con actriz de TV),No
Nataly Chilet,Sí (Miss Tierra Chile 2005),Sí (Modelo formada en agencia especializada),Sí (Participación en certámenes internacionales previos),No disponible,Sí (Agencia MissModel)
Paulina Nin,No,Sí (Modelo de comerciales de TV),No,No disponible,Sí (Radio y publicidad)
Raquel Argandoña,No,Sí (Reina comunal y modelo de pasarelas locales),No,Sí (Prensa de espectáculos local),Sí (Casting de certámenes)
Renata Ruiz,no,Sí (Modelo de alta costura internacional; 2da en el mundo),No,Sí (Reconocimiento en moda internacional),Sí (Elite Model Management)
Savka Pollak,No,Sí (Modelo de publicidad y catálogos),No,No disponible,Sí (Agencias de casting)
Tonka Tomicic,No,Sí (Modelo de publicidad y comerciales de TV),No,Sí (Fama previa como modelo de alta gama),Sí (Elite Model Management)
Verónica Roberts,No,Sí (Modelo publicitaria),Sí (Participante en programas de TV juvenil),No disponible,Sí (Agencias de casting juvenil)
